Year,Economics,History,Political science and government,Sociology,Visual and Performing arts,Social Sciences,Public Administration,Psychology,Chemistry,Geology,Physics,Physical Science,Mathematics,Health,Foreign Languages,English,Chemical Engineering,Civil Engineering,Electrical Engineering,Mechanical Engineering,Engineering,Biomedical,Biology,Microbiology,Zoology,Business,Communication,Computer Science
1990-91,23488,24541,35737,17550,42186,125107,14350,58655,8311,2367,4236,16334,14393,59875,12704,51064,3444,7314,19320,13977,79751,39377,29285,1788,2641,249165,53047,25159
1991-92,23423,26966,37805,19568,46522,133974,15987,63683,8629,2784,4098,16948,14468,62779,13300,54250,3754,8034,17958,14067,78058,42781,31909,1750,2811,256298,55144,24821
1992-93,21321,27774,37931,20896,47761,135703,16775,66931,8903,3123,4063,17534,14384,68434,13904,55289,4459,8868,17281,14464,78662,46868,34932,1798,3036,256473,54907,24519
1993-94,19496,27503,36097,22368,49053,133680,17815,69419,9417,3456,4001,18392,14171,75890,13761,53150,5163,9479,15823,15030,78662,51157,38103,1872,3162,246265,52033,24527
1994-95,17673,26598,33013,22886,48690,128154,18586,72233,9706,4032,3823,19161,13494,81596,13196,51170,5901,9927,14929,14794,78569,55790,41658,1992,3149,233895,48969,24737
1995-96,16674,26005,30775,24071,49296,126479,19849,73416,10395,4019,3679,19627,12713,86087,13337,49928,6319,10607,13900,14177,78086,60750,44818,2220,3463,226623,48173,24506
1996-97,16539,25214,28969,24672,50083,124891,20649,74308,10609,4023,3376,19496,12401,87997,13053,48641,6564,10437,13336,13493,75757,63679,46632,2530,3438,225934,47894,25422
1997-98,17074,25726,28044,24806,52077,125040,20408,74107,10528,3866,3441,19362,11795,86843,13618,49016,6319,9926,12995,13071,74649,65583,47054,2926,3653,232079,50263,27829
1998-99,17611,24794,27418,24933,54404,124658,20287,73636,10068,3544,3213,18285,11966,85214,14163,49800,6033,9121,12531,12705,72665,64608,46078,2871,3426,240947,52460,30574
1999-2000,18441,25247,27635,25598,58791,127101,20185,74194,9989,3516,3342,18331,11418,80863,14186,50106,5807,8136,12930,12807,73419,63005,44982,3049,3226,256070,57058,37788
2000-01,19437,25090,27792,25268,61148,128036,19447,73645,9466,3495,3418,17919,11171,75933,14292,50569,5611,7588,13091,12817,72975,59865,42310,2779,3045,263515,59191,44142
2001-02,20927,26001,29354,25202,66773,132874,19392,76775,9084,3449,3627,17799,11950,72887,14236,52375,5462,7665,13056,13058,74679,59415,42281,2622,2979,278217,64036,50365
2002-03,23007,27757,33205,26095,71482,143256,19900,78650,9013,3381,3900,17950,12505,71261,14854,53699,5109,7836,13627,13693,77319,60104,42699,2455,2488,293391,69828,57433
2003-04,24069,29808,35581,26939,77181,150357,20552,82098,9016,3312,4118,17983,13327,73934,15408,53984,4742,7827,14123,14050,78227,61509,43465,2365,2454,307149,73002,59488
2004-05,24217,31398,38107,28473,80955,156892,21769,85614,9664,3276,4182,18905,14351,80685,16008,54379,4397,8186,14171,14609,79743,64611,45540,2318,2159,311574,75238,54111
2005-06,23807,33153,39409,28467,83297,161485,21986,88134,10606,3322,4541,20318,14770,91973,16762,55096,4326,9090,13966,15850,81610,69178,48855,2243,2140,318042,76936,47480
2006-07,23916,34446,39899,28960,85186,164183,23147,90039,10994,3319,4843,21073,14954,101810,17344,55122,4492,9671,13089,16601,82072,75151,52527,2347,2223,327531,78420,42170
2007-08,25278,34441,40259,28815,87703,167363,23493,92587,11568,3561,4862,21934,15192,111478,17866,55038,4795,10455,12375,17367,83853,77854,54384,2458,2235,335254,81048,38476
2008-09,26299,34711,39198,28732,89140,168500,23851,94271,11851,3809,4822,22466,15496,120488,18073,55462,5036,10785,11619,17352,84636,80756,55856,2480,2141,347985,83109,37994
