Year,Economics,History,Political science and government,Sociology,Visual and Performing arts,Social Sciences,Public Administration,Psychology,Chemistry,Geology,Physics,Physical Science,Mathematics,Health,Foreign Languages,English,Chemical Engineering,Civil Engineering,Electrical Engineering,Mechanical Engineering,Engineering,Biomedical,Biology,Microbiology,Zoology,Business,Communication,Computer Science
1970-71,15758,44663,27482,33263,30394,155324,5466,38187,11061,3312,5071,21410,24801,25223,19806,63914,3579,6526,12198,8858,50182,35683,26294,1475,5721,115396,10802,2388
1971-72,15231,43695,28135,35216,33831,158060,7508,43433,10588,3766,4634,20743,23713,28611,18673,63707,3625,6803,12101,8530,51258,37269,27473,1548,5518,121917,12340,3402
1972-73,14770,40943,30100,35436,36017,155970,10690,47940,10124,4117,4259,20692,23067,33562,18989,60607,3578,7390,12313,8523,51384,42205,31185,1940,5763,126717,14317,4304
1973-74,14285,37049,30744,35491,39730,150320,11966,52139,10430,4526,3952,21170,21635,41421,18807,54190,3399,8017,11316,7677,50412,48224,36188,2311,6128,132304,17096,4756
1974-75,14046,31470,29126,31488,40782,135190,13661,51245,10541,4566,3706,20770,18181,49002,17842,47062,3070,7651,10161,6890,47131,51576,38748,2767,6110,133639,19248,5033
1975-76,14741,28400,28302,27634,42138,126396,15440,50278,11015,4677,3544,21458,15984,53885,15731,41452,3140,7923,9791,6800,46676,54085,40163,2927,6077,143171,21282,5652
1976-77,15296,25433,26411,24713,41793,117040,16136,47861,11200,5280,3420,22482,14196,57222,14162,37343,3524,8228,9936,7703,49482,53420,39530,2884,5574,152010,23214,6407
1977-78,15661,23004,26069,22750,40951,112952,16607,44879,11304,5648,3330,22975,12569,59445,13037,34799,4569,9135,11133,8875,56150,51326,37598,2695,5096,160775,25400,7201
1978-79,16409,21019,25628,20285,40969,108059,17328,42697,11499,5753,3337,23197,11806,62095,11957,33218,5568,9809,12338,10107,62898,48668,35962,2670,4738,172392,26457,8719
1979-80,17863,19301,25457,18881,40892,103662,16644,42093,11229,5785,3396,23407,11378,63848,11315,32187,6320,10326,13821,11808,69387,46190,33523,2631,4301,186264,28616,11154
1980-81,18753,18301,24977,17272,40479,100513,16707,41068,12682,6332,3441,23936,11078,63665,10464,31922,6527,10678,14938,13329,75355,43003,31323,2414,3873,200521,31282,15121
1981-82,19876,17146,25658,16042,40422,99705,16495,41212,11058,6650,3503,24045,11599,63660,10014,33078,6740,10524,16455,13922,80632,41425,29651,2377,3615,215190,34222,20267
1982-83,20517,16467,25791,14105,39804,95228,14414,40460,10789,6981,3793,23374,12294,65642,10026,31327,7185,9989,18049,15675,89811,39767,28022,2324,3407,226442,38647,24565
1983-84,20719,16643,25719,13145,40131,93323,12570,39955,10698,7524,3907,23645,13087,65305,9829,32296,7475,9693,19943,16629,95295,38445,27379,2349,3231,229013,40203,32439
1984-85,20711,16049,25834,11968,38285,91570,11754,39900,10472,7194,4097,23694,15009,65331,10357,32686,7146,9162,21691,16794,97099,38229,27593,2207,3069,232282,42102,39121
1985-86,21602,16415,26439,12271,37241,93840,11887,40628,10110,5760,4180,21711,16122,65309,10407,34083,5877,8679,23742,16194,97122,38320,27618,2257,2894,236700,43145,42337
1986-87,22378,16997,26817,12239,36873,96342,12328,43152,9660,3943,4318,20060,16257,63963,10740,35667,4991,8147,24547,15450,93560,37977,27465,2159,2791,240346,45521,39767
1987-88,22911,18207,27207,13024,37150,100460,12385,45371,9043,3204,4100,17797,15712,61614,10513,38106,3917,7488,23597,14900,89406,36576,26838,2061,2537,242859,46916,34651
1988-89,23454,20159,30450,14435,38420,108151,13162,49083,8618,2847,4352,17179,15017,59850,11376,41786,3663,7312,21908,14843,85982,35957,26229,1833,2549,246262,48889,30560
1989-90,23923,22476,33560,16035,39934,118083,13908,53952,8122,2372,4155,16056,14276,58983,11991,46803,3430,7252,20711,14336,82480,37204,27213,1973,2473,248568,51572,27347
