Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2005-06,2006-07,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Mathematics and statistics,24801.00,15984.00,11078.00,16122.00,14393.00,12713.00,11171.00,14760.00,14958.00,15507.00,16029.00,17182.00,18841.00,20449.00,20987.00,21854.00,22778.00,24073.00
Military technologies and applied sciences,357.00,952.00,42.00,255.00,183.00,7.00,21.00,33.00,168.00,55.00,56.00,64.00,86.00,105.00,185.00,276.00,358.00,469.00
Multi/interdisciplinary studies,6324.00,13709.00,12986.00,13754.00,17774.00,26885.00,26478.00,30583.00,32118.00,35376.00,37717.00,42473.00,45717.00,47658.00,48392.00,47556.00,48833.00,49658.00
"Parks, recreation, leisure, and fitness studies",1621.00,5182.00,5729.00,4623.00,4315.00,12974.00,17948.00,25489.00,27430.00,31683.00,33332.00,35934.00,38998.00,42628.00,46047.00,49008.00,50912.00,53264.00
Philosophy and religious studies,8149.00,8447.00,6776.00,6396.00,7423.00,7541.00,8717.00,11980.00,11973.00,12448.00,12503.00,12830.00,12645.00,12792.00,11999.00,11071.00,10155.00,9712.00
Physical sciences and science technologies,21410.00,21458.00,23936.00,21711.00,16334.00,19716.00,18025.00,20521.00,21295.00,22691.00,23381.00,24705.00,26664.00,28053.00,29307.00,30042.00,30483.00,31268.00
Precision production,0.00,0.00,0.00,2.00,2.00,12.00,31.00,55.00,23.00,29.00,29.00,43.00,37.00,36.00,37.00,48.00,51.00,32.00
Psychology,38187.00,50278.00,41068.00,40628.00,58655.00,73416.00,73645.00,88132.00,90073.00,94273.00,97215.00,100906.00,109099.00,114446.00,117312.00,117573.00,117447.00,116861.00
Public administration and social services,5466.00,15440.00,16707.00,11887.00,14350.00,19849.00,19447.00,21986.00,23147.00,23852.00,25421.00,26799.00,29695.00,31950.00,33483.00,34364.00,34433.00,35464.00
Social sciences and history,155324.00,126396.00,100513.00,93840.00,125107.00,126479.00,128036.00,161468.00,164229.00,168517.00,172782.00,177169.00,178534.00,177767.00,173132.00,166971.00,161211.00,159099.00
Theology and religious vocations,3720.00,5490.00,5808.00,5510.00,4799.00,5292.00,6945.00,8548.00,8696.00,8940.00,8719.00,9073.00,9304.00,9385.00,9642.00,9713.00,9804.00,9491.00
Transportation and materials moving,0.00,225.00,263.00,1838.00,2622.00,3561.00,3748.00,5349.00,5657.00,5189.00,4998.00,4941.00,4876.00,4661.00,4588.00,4730.00,4531.00,4710.00
Visual and performing arts,30394.00,42138.00,40479.00,37241.00,42186.00,49296.00,61148.00,83292.00,85210.00,89143.00,91798.00,93939.00,95806.00,97799.00,97414.00,95840.00,92979.00,91262.00
Not classified by field of study,0.00,0.00,0.00,0.00,13258.00,1756.00,783.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
